split,model,macro_f1,accuracy,qwk
Validation,majority,0.1813,0.5689,0.0
Validation,logreg,0.242,0.3109,0.1387
Validation,random_forest,0.2669,0.5263,0.166
Validation,gradient_boosting,0.2907,0.507,0.162
Validation,majority_3class_merged,0.2417,0.5689,0.0
Validation,logreg_3class_merged,0.3282,0.3357,0.1322
Validation,random_forest_3class_merged,0.3559,0.5264,0.1673
Validation,gradient_boosting_3class_merged,0.377,0.508,0.1612
Test,majority,0.1655,0.4948,0.0
Test,logreg,0.2479,0.354,0.0806
Test,random_forest,0.2643,0.5054,0.0961
Test,gradient_boosting,0.291,0.4976,0.1138
Test,majority_3class_merged,0.2207,0.4948,0.0
Test,logreg_3class_merged,0.337,0.3715,0.0917
Test,random_forest_3class_merged,0.3536,0.5056,0.0945
Test,gradient_boosting_3class_merged,0.3933,0.4985,0.111
