preset,n_features,fold,macro_f1,accuracy,qwk
geometric,8,0,0.2914,0.4128,0.003
geometric,8,1,0.3036,0.4517,0.1819
geometric,8,2,0.2669,0.3819,0.0795
geometric,8,3,0.3203,0.4207,0.1525
geometric,8,4,0.3382,0.4096,0.1551
geometric_pose,11,0,0.2739,0.4393,0.1863
geometric_pose,11,1,0.3087,0.3945,0.0806
geometric_pose,11,2,0.2735,0.4241,0.0958
geometric_pose,11,3,0.3092,0.4494,0.1346
geometric_pose,11,4,0.2979,0.4711,0.2489
geometric_gaze,10,0,0.3024,0.5013,0.1503
geometric_gaze,10,1,0.3378,0.4474,0.1584
geometric_gaze,10,2,0.2648,0.3987,0.1368
geometric_gaze,10,3,0.312,0.4687,0.1147
geometric_gaze,10,4,0.3218,0.4652,0.1941
full,13,0,0.2937,0.4855,0.1904
full,13,1,0.2864,0.4546,0.1947
full,13,2,0.3002,0.4707,0.1867
full,13,3,0.3018,0.4427,0.1221
full,13,4,0.299,0.4509,0.2355
