stack,weight_power,val_window_macro_f1,val_window_accuracy,val_clip_macro_f1,val_clip_accuracy
tcn+gbm,0.0,0.2607,0.5315,0.2635,0.5416
tcn+gbm,0.25,0.2689,0.5259,0.2721,0.5451
tcn+gbm,0.5,0.2839,0.5162,0.2897,0.5297
tcn+gbm,0.75,0.2991,0.4884,0.3114,0.5017
tcn+gbm,1.0,0.2186,0.2601,0.2291,0.2729
tcn+gbm+rf,0.0,0.258,0.5103,0.2651,0.5241
tcn+gbm+rf,0.25,0.2629,0.5062,0.2656,0.5199
tcn+gbm+rf,0.5,0.2928,0.4928,0.2784,0.5038
tcn+gbm+rf,0.75,0.2984,0.462,0.3064,0.4773
tcn+gbm+rf,1.0,0.2388,0.2946,0.238,0.2918
