feature_subset,model,n_features,macro_f1,accuracy,qwk
geometric,logreg,8,0.268,0.3507,0.1401
geometric,random_forest,8,0.2564,0.5049,0.1118
geometric,gradient_boosting,8,0.2801,0.4892,0.1268
geometric,tcn,8,0.2911,0.4435,0.094
geometric_pose,logreg,11,0.2412,0.3067,0.1348
geometric_pose,random_forest,11,0.2528,0.5027,0.101
geometric_pose,gradient_boosting,11,0.2844,0.4927,0.1418
geometric_pose,tcn,11,0.3014,0.4166,0.1361
geometric_gaze,logreg,10,0.264,0.3502,0.1393
geometric_gaze,random_forest,10,0.2589,0.5099,0.1193
geometric_gaze,gradient_boosting,10,0.2895,0.4979,0.1158
geometric_gaze,tcn,10,0.3252,0.4551,0.1356
full,logreg,13,0.2427,0.3115,0.1399
full,random_forest,13,0.2669,0.5263,0.166
full,gradient_boosting,13,0.2907,0.507,0.162
full,tcn,13,0.3061,0.4354,0.1304
