experiment,config,seed,macro_f1,accuracy,qwk
architecture,tcn,42,0.3061,0.4354,0.1304
architecture,tcn,7,0.30194608715443794,0.42669699090272917,0.1595461048088308
architecture,tcn,123,0.29639260716349786,0.43850594821553535,0.13276909843989848
architecture,lstm,42,0.2823,0.3652,0.1393
architecture,lstm,7,0.30919089424463386,0.4429671098670399,0.13876707616687567
architecture,lstm,123,0.2899130486363278,0.4504898530440868,0.12339555423113324
architecture,gru,42,0.2837,0.3982,0.139
architecture,gru,7,0.29638765205827455,0.36415325402379284,0.1858510033055818
architecture,gru,123,0.29187824814807983,0.3969559132260322,0.1877543275870035
architecture,transformer,42,0.3014,0.4373,0.1536
architecture,transformer,7,0.30874884239273265,0.4127011896431071,0.16228957157723067
architecture,transformer,123,0.2955549624603016,0.39914275717284814,0.19444032592668847
feature_ablation,geometric,42,0.2911,0.4435,0.094
feature_ablation,geometric,7,0.3022624623830803,0.4096396081175647,0.14797598896082587
feature_ablation,geometric,123,0.30751880884624644,0.4490902729181246,0.17129627471601372
feature_ablation,geometric_pose,42,0.3014,0.4166,0.1361
feature_ablation,geometric_pose,7,0.29301942453102836,0.38733379986004196,0.14104544429364796
feature_ablation,geometric_pose,123,0.29151360694907985,0.4181245626312106,0.15410287811005374
feature_ablation,geometric_gaze,42,0.3252,0.4551,0.1356
feature_ablation,geometric_gaze,7,0.3121936335991446,0.4443666899930021,0.11417496395257676
feature_ablation,geometric_gaze,123,0.3082630730328231,0.42407277816655004,0.1658657086926255
feature_ablation,full,42,0.3061,0.4354,0.1304
feature_ablation,full,7,0.30194608715443794,0.42669699090272917,0.1595461048088308
feature_ablation,full,123,0.29639260716349786,0.43850594821553535,0.13276909843989848
