epoch,train_loss,val_macro_f1,val_weighted_f1,val_accuracy,val_states_auc,lr,seconds
0,1.39796,0.26234,0.36896,0.34438,0.61625,0.00099975,26.3
1,1.25568,0.27896,0.38461,0.3589,0.62801,0.00099901,22.8
2,1.19556,0.2684,0.39018,0.35803,0.62439,0.00099778,23.7
3,1.15773,0.28894,0.42378,0.39801,0.61046,0.00099606,26.2
4,1.12787,0.30433,0.46602,0.44332,0.60303,0.00099384,30.3
5,1.08599,0.2809,0.41836,0.38261,0.63399,0.00099114,29.3
6,1.07391,0.28257,0.42188,0.39389,0.61078,0.00098796,29.9
7,1.04121,0.26581,0.37958,0.34508,0.61825,0.00098429,29.1
8,1.02206,0.28258,0.43487,0.40702,0.60854,0.00098015,30.3
9,1.00188,0.28674,0.45254,0.42862,0.60433,0.00097553,29.0
10,0.97526,0.26785,0.39672,0.36538,0.60305,0.00097044,30.3
11,0.95814,0.30426,0.44748,0.41944,0.62294,0.00096489,29.8
12,0.9392,0.28324,0.43077,0.40833,0.59678,0.00095888,30.5
13,0.91465,0.2906,0.45692,0.44559,0.62461,0.00095241,29.4
14,0.91456,0.27718,0.41333,0.39958,0.60753,0.0009455,29.8
15,0.90818,0.28256,0.43055,0.40133,0.61392,0.00093815,29.9
16,0.88657,0.27665,0.41875,0.39529,0.59728,0.00093037,35.4
17,0.87524,0.2575,0.378,0.34019,0.60214,0.00092216,71.0
18,0.86332,0.29227,0.45037,0.43072,0.60621,0.00091354,34.4
19,0.84509,0.28703,0.41308,0.39573,0.61933,0.00090451,33.0
